4723
   0.3955,    0.9173,   -0.0460
  -0.4229,    0.2263,    0.8775
   0.8164,   -0.3270,    0.4761
   0.3939,    0.9181,   -0.0448
  -0.4224,    0.2241,    0.8783
   0.8147,   -0.3253,    0.4801
   0.3928,    0.9186,   -0.0441
  -0.4266,    0.2244,    0.8761
   0.8145,   -0.3268,    0.4793
   0.3944,    0.9179,   -0.0444
  -0.4254,    0.2252,    0.8765
   0.8165,   -0.3268,    0.4759
   0.3940,    0.9180,   -0.0455
  -0.4220,    0.2246,    0.8783
   0.8154,   -0.3273,    0.4775
   0.3953,    0.9174,   -0.0462
  -0.4229,    0.2264,    0.8774
   0.8144,   -0.3301,    0.4773
   0.3980,    0.9163,   -0.0453
  -0.4224,    0.2269,    0.8776
   0.8137,   -0.3323,    0.4769
   0.4008,    0.9150,   -0.0462
  -0.4210,    0.2287,    0.8778
   0.8140,   -0.3324,    0.4763
   0.4000,    0.9154,   -0.0447
  -0.4211,    0.2269,    0.8782
   0.8146,   -0.3324,    0.4753
   0.3993,    0.9157,   -0.0441
  -0.4206,    0.2257,    0.8787
   0.8147,   -0.3296,    0.4771
   0.3971,    0.9167,   -0.0448
  -0.4226,    0.2260,    0.8777
   0.8142,   -0.3294,    0.4781
   0.3968,    0.9169,   -0.0440
  -0.4238,    0.2255,    0.8772
   0.8144,   -0.3288,    0.4782
   0.3964,    0.9170,   -0.0447
  -0.4238,    0.2259,    0.8771
   0.8143,   -0.3312,    0.4766
   0.3986,    0.9160,   -0.0445
  -0.4219,    0.2262,    0.8780
   0.8136,   -0.3317,    0.4775
   0.3996,    0.9156,   -0.0448
  -0.4224,    0.2273,    0.8775
   0.8159,   -0.3314,    0.4738
   0.3986,    0.9160,   -0.0457
  -0.4189,    0.2262,    0.8794
   0.8162,   -0.3269,    0.4764
   0.3950,    0.9175,   -0.0471
  -0.4217,    0.2266,    0.8780
   0.8139,   -0.3271,    0.4802
   0.3954,    0.9174,   -0.0453
  -0.4257,    0.2267,    0.8760
   0.8139,   -0.3272,    0.4802
   0.3959,    0.9171,   -0.0461
  -0.4253,    0.2277,    0.8760
   0.8127,   -0.3268,    0.4825
   0.3962,    0.9170,   -0.0462
  -0.4274,    0.2287,    0.8747
   0.8113,   -0.3284,    0.4837
   0.3982,    0.9161,   -0.0460
  -0.4281,    0.2299,    0.8740
   0.8095,   -0.3279,    0.4870
   0.3988,    0.9159,   -0.0463
  -0.4309,    0.2316,    0.8722
   0.8113,   -0.3262,    0.4852
   0.3971,    0.9165,   -0.0478
